Source,Destination,src_lat,src_lon,dst_lat,dst_lon
"Miraj,Kolhapur","Walwa,SANGLI",16.7730437,74.5406145,17.0196483,74.2806334
"Taloja,Taloja Plant","Bid,BEED",,,18.9027114,75.9980227
"Manmad,Nashik","Niphad,NASHIK",20.2519828,74.4392286,20.0796924,74.1071124
"Taloja,Taloja Plant","Pandharpur,SOLAPUR",,,17.7255921,75.3001936
"Kolhapur,Kolhapur","Ratnagiri,RATNAGIRI",16.7028412,74.2405329,,
"Taloja Railhead,Taloja Railhead","Gangakhed,PARBHANI",,,18.9130998,76.7557068
"Taloja,Taloja Plant","Junnar,PUNE",,,19.2006808,73.976819
"Kolhapur,Kolhapur","Walwa,SANGLI",16.7028412,74.2405329,17.0196483,74.2806334
"Taloja,Taloja Plant","CHIKODI,Belgaum",,,15.8339596,74.5159352
"Taloja Railhead,Taloja Railhead","Kaij,BEED",,,18.7231007,76.0379033
"Taloja Railhead,Taloja Railhead","Manjlegaon,BEED",,,,
"Kolhapur,Kolhapur","Kagal,KOLHAPUR",16.7028412,74.2405329,16.5750891,74.3152571
"Kolhapur,Kolhapur","Palus,SANGLI",16.7028412,74.2405329,,
"Taloja,Taloja Plant","Gangakhed,PARBHANI",,,18.9130998,76.7557068
"Hingoli,Aurangabad","Aundha (Nagnath),HINGOLI",,,19.5645215,77.0661315
"Kolhapur,Kolhapur","Devgad,SINDHUDURG",16.7028412,74.2405329,16.3770393,73.3796243
"Taloja,Taloja Plant","Pathardi,AHMEDNAGAR",,,19.1717199,75.174557
"Miraj,Kolhapur","Atpadi,SANGLI",16.7730437,74.5406145,17.4226767,74.9391219
"Miraj,Kolhapur","Palus,SANGLI",16.7730437,74.5406145,17.0449956,74.4365833
"Solapur,Solapur","Karmala,SOLAPUR",17.6699734,75.9008118,18.321381,75.1168773
"Rajkot,Rajkot","Gondal,RAJKOT",22.3053263,70.8028377,21.9575096,70.8009896
"Solapur,Solapur","Malshiras,SOLAPUR",17.6699734,75.9008118,17.8096174,74.9347056
"Solapur,Solapur","Pandharpur,SOLAPUR",17.6699734,75.9008118,17.7255921,75.3001936
"Solapur,Solapur","Bhum,OSMANABAD",17.6699734,75.9008118,18.5493092,75.6190661
"Solapur,Solapur","Kalamb,OSMANABAD",17.6699734,75.9008118,,
"Solapur,Solapur","Tuljapur,OSMANABAD",17.6699734,75.9008118,18.0086617,76.0707924
"Ahmednagar,Ahmednagar","Nagar,AHMEDNAGAR",19.0436206,74.7426763,19.9038363,74.4892625
"Bardoli,Surat","Bardoli,SURAT",21.1338291,73.1053896,,
"Taloja,Taloja Plant","Karmala,SOLAPUR",,,18.321381,75.1168773
"Kolhapur,Kolhapur","Gadhinglaj,KOLHAPUR",16.7028412,74.2405329,16.1409008,74.4036933
"Siddhpur,Ahemdabad","Palanpur,Banas Kantha",,,24.1709794,72.4366375
"Siddhpur,Ahemdabad","Vijapur,MAHESANA",,,23.5590941,72.7449399
"Siddhpur,Ahemdabad","Ahmadabad City,Ahmadabad",,,23.0215374,72.5800568
"Rajkot,Rajkot","Visavadar,JUNAGADH",22.3053263,70.8028377,21.3417058,70.7534299
"Wagholi,Pune","Shirur,PUNE",18.5806299,73.9833099,18.7610989,74.209529
"Taloja,Taloja Plant","Chaurai,CHHINDWARA",,,22.0540694,79.2452587
"Whitefield,Bengaluru","DEVANAHALLI,BANGALORE RURAL",,,13.2569131,77.7272919
"Davangere,Davangere","Hadagalli,Vijayanagara",14.4679807,75.9195682,,
"Whitefield,Bengaluru","BANGARAPET,KOLAR",12.9957428,77.7579489,12.9895093,78.1775931
"Miraj,Kolhapur","Tasgaon,SANGLI",16.7730437,74.5406145,17.0904859,74.6832675
"Whitefield,Bengaluru","BANGALORE NORTH,Bengaluru Urban",12.9957428,77.7579489,,
"Davangere,Davangere","CHANNAGIRI,Davangere",14.4679807,75.9195682,14.4313535,75.9207611
"Whitefield,Bengaluru","MAGADI,Ramanagara",12.9957428,77.7579489,12.9567353,77.2242281
"Davangere,Davangere","Davanagere,Davangere",14.4679807,75.9195682,14.4679807,75.9195682
"Davangere,Davangere","JAGALUR,Davangere",14.4679807,75.9195682,14.4806953,75.9314591
"Whitefield,Bengaluru","GUDIBANDA,Chikballapur",12.9957428,77.7579489,,
"Whitefield,Bengaluru","SIDLAGHATTA,Chikballapur",12.9957428,77.7579489,,
"Whitefield,Bengaluru","SRINIVASPUR,KOLAR",12.9957428,77.7579489,13.340085,78.2117487
"Solapur,Solapur","Barshi,SOLAPUR",17.6699734,75.9008118,18.2341108,75.6875109
"Whitefield,Bengaluru","KORATAGERE,TUMKUR",12.9957428,77.7579489,13.5221082,77.2397341
"Solapur,Solapur","Akkalkot,SOLAPUR",17.6699734,75.9008118,17.515193,76.212278
"Davangere,Davangere","HARIHAR,Davangere",14.4679807,75.9195682,14.4548169,75.9206769
"Davangere,Davangere","CHITRADURGA,CHITRADURGA",14.4679807,75.9195682,14.2266443,76.4005122
"Whitefield,Bengaluru","CHINTAMANI,Chikballapur",12.9957428,77.7579489,,
"Davangere,Davangere","HOSADURGA,CHITRADURGA",14.4679807,75.9195682,13.7987759,76.2831034
"Davangere,Davangere","HAVERI,HAVERI",14.4679807,75.9195682,14.7947529,75.4111439
"Davangere,Davangere","KOPPA,Chikmagalur",14.4679807,75.9195682,13.5334842,75.3670061
"Davangere,Davangere","HIREKERUR,HAVERI",14.4679807,75.9195682,14.4562395,75.3952205
"Whitefield,Bengaluru","CHIK BALLAPUR,Chikballapur",12.9957428,77.7579489,,
"Whitefield,Bengaluru","HOSAKOTE,BANGALORE RURAL",12.9957428,77.7579489,13.0742112,77.7667791
"Whitefield,Bengaluru","MALUR,KOLAR",12.9957428,77.7579489,13.0058697,77.9393648
"Davangere,Davangere","HIRIYUR,CHITRADURGA",14.4679807,75.9195682,13.9443237,76.6167407
"Whitefield,Bengaluru","ANEKAL,Bengaluru Urban",12.9957428,77.7579489,12.7103145,77.6886188
"Whitefield,Bengaluru","DOD BALLAPUR,BANGALORE RURAL",12.9957428,77.7579489,,
"Davangere,Davangere","BYADGI,HAVERI",14.4679807,75.9195682,14.6991545,75.489622
"Davangere,Davangere","SHIMOGA,SHIMOGA",14.4679807,75.9195682,13.9326093,75.574978
"Whitefield,Bengaluru","MULBAGAL,KOLAR",12.9957428,77.7579489,13.1660479,78.3927241
"Davangere,Davangere","TARIKERE,Chikmagalur",14.4679807,75.9195682,13.7083491,75.812342
"Whitefield,Bengaluru","NELAMANGALA,BANGALORE RURAL",12.9957428,77.7579489,13.0953024,77.3963586
"Davangere,Davangere","CHALLAKERE,CHITRADURGA",14.4679807,75.9195682,14.3167885,76.6521533
"Davangere,Davangere","HOLALKERE,CHITRADURGA",14.4679807,75.9195682,14.0428326,76.1844875
"Bellary,Davangere","Hadagalli,Vijayanagara",14.4609878,75.9244844,,
"Davangere,Davangere","HONNALI,Davangere",14.4679807,75.9195682,,
"Davangere,Davangere","MOLAKALMURU,CHITRADURGA",14.4679807,75.9195682,,
"Davangere,Davangere","CHIKMAGALUR,Chikmagalur",14.4679807,75.9195682,13.3156188,75.7756615
"Whitefield,Bengaluru","CHIKNAYAKANHALLI,TUMKUR",12.9957428,77.7579489,,
